mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
5	5	12	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		7	73	C#5	5	32
5	5	25/2	0.5	5/8	5/8	3/4	2	1	1/8	1/8	1		6	66	F#4	4	35
6	6	13	2.0	0	0	3/4	4	1	1/2	1/2	1		11	53	E#3	3	47
6	6	13	2.0	0	0	3/4	3	1	1/2	1/2	1		7	61	C#4	4	45
6	6	13	2.0	0	0	3/4	2	1	1/2	1/2	1		8	68	G#4	4	43
6	6	13	1.0	0	0	3/4	1	1	1/4	1/4	1		7	73	C#5	5	40
6	6	14	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		5	71	B4	4	41
6	6	15	1.0	1/2	1/2	3/4	4	1	1/4	1/4	1		7	49	C#3	3	48
6	6	15	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		5	59	B3	3	46
6	6	15	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		11	65	E#4	4	44
6	6	15	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		7	73	C#5	5	42
7	7	16	1.0	0	0	3/4	4	1	1/4	1/4	1		6	54	F#3	3	55
7	7	16	2.0	0	0	3/4	3	1	1/2	1/2	1		3	57	A3	3	53
7	7	16	2.0	0	0	3/4	2	1	1/2	1/2	1		6	66	F#4	4	51
7	7	16	2.0	0	0	3/4	1	1	1/2	1/2	1		7	73	C#5	5	49
7	7	17	1.0	1/4	1/4	3/4	4	1	1/4	1/4	1		4	52	E3	3	56
7	7	18	1.0	1/2	1/2	3/4	4	1	1/4	1/4	1		2	50	D3	3	57
7	7	18	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		4	64	E4	4	54
7	7	18	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		8	68	G#4	4	52
7	7	18	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		5	71	B4	4	50
8	8	19	1.0	0	0	3/4	4	1	1/4	1/4	1		7	49	C#3	3	65
8	8	19	1.0	0	0	3/4	3	1	1/4	1/4	1		4	64	E4	4	62
8	8	19	1.0	0	0	3/4	1	1	1/4	1/4	1		3	69	A4	4	58
8	8	19	2.0	0	0	3/4	2	1	1/2	1/2	1		3	69	A4	4	60
8	8	20	1.0	1/4	1/4	3/4	4	1	1/4	1/4	1		2	50	D3	3	66
8	8	20	1.0	1/4	1/4	3/4	3	1	1/4	1/4	1		6	66	F#4	4	63
8	8	20	2.0	1/4	1/4	3/4	1	1	1/2	1/2	1		5	71	B4	4	59
8	8	21	1.0	1/2	1/2	3/4	4	1	1/4	1/4	1		4	52	E3	3	67
8	8	21	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		4	64	E4	4	64
8	8	21	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		8	68	G#4	4	61
9	9	22	2.0	0	0	3/4	4	1	1/2	1/2	1		3	45	A2	2	71
9	9	22	2.0	0	0	3/4	3	1	1/2	1/2	1		7	61	C#4	4	70
9	9	22	2.0	0	0	3/4	2	1	1/2	1/2	1		4	64	E4	4	69
9	9	22	2.0	0	0	3/4	1	1	1/2	1/2	1		3	69	A4	4	68
10	10	24	1.0	0	1/2	3/4	4	1	1/4	1/4	1		3	45	A2	2	75
10	10	24	1.0	0	1/2	3/4	3	1	1/4	1/4	1		7	61	C#4	4	74
10	10	24	1.0	0	1/2	3/4	2	1	1/4	1/4	1		4	64	E4	4	73
10	10	24	1.0	0	1/2	3/4	1	1	1/4	1/4	1		3	69	A4	4	72
11	11	25	2.0	0	0	3/4	4	1	1/2	1/2	1		2	50	D3	3	84
11	11	25	2.0	0	0	3/4	3	1	1/2	1/2	1		2	62	D4	4	82
11	11	25	1.0	0	0	3/4	2	1	1/4	1/4	1		6	66	F#4	4	79
11	11	25	1.0	0	0	3/4	1	1	1/4	1/4	1		3	69	A4	4	76
11	11	26	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		8	68	G#4	4	80
11	11	26	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		5	71	B4	4	77
11	11	27	1.0	1/2	1/2	3/4	4	1	1/4	1/4	1		3	57	A3	3	85
11	11	27	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		4	64	E4	4	83
11	11	27	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	69	A4	4	81
11	11	27	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		7	73	C#5	5	78
12	12	28	1.0	0	0	3/4	4	1	1/4	1/4	1		8	56	G#3	3	94
12	12	28	1.0	0	0	3/4	3	1	1/4	1/4	1		11	65	E#4	4	91
12	12	28	1.0	0	0	3/4	2	1	1/4	1/4	1		5	71	B4	4	88
12	12	28	2.0	0	0	3/4	1	1	1/2	1/2	1		5	71	B4	4	86
12	12	29	1.0	1/4	1/4	3/4	4	1	1/4	1/4	1		6	54	F#3	3	95
12	12	29	1.0	1/4	1/4	3/4	3	1	1/4	1/4	1		6	66	F#4	4	92
12	12	29	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		3	69	A4	4	89
12	12	30	1.0	1/2	1/2	3/4	4	1	1/4	1/4	1		11	53	E#3	3	96
12	12	30	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		8	68	G#4	4	90
12	12	30	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		8	68	G#4	4	93
12	12	30	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		7	73	C#5	5	87
13	13	31	1.0	0	0	3/4	4	1	1/4	1/4	1		6	54	F#3	3	104
13	13	31	1.0	0	0	3/4	3	1	1/4	1/4	1		7	61	C#4	4	101
13	13	31	2.0	0	0	3/4	2	1	1/2	1/2	1		6	66	F#4	4	99
13	13	31	1.0	0	0	3/4	1	1	1/4	1/4	1		3	69	A4	4	97
13	13	32	1.0	1/4	1/4	3/4	4	1	1/4	1/4	1		5	47	B2	2	105
13	13	32	1.0	1/4	1/4	3/4	3	1	1/4	1/4	1		2	62	D4	4	102
13	13	32	2.0	1/4	1/4	3/4	1	1	1/2	1/2	1		8	68	G#4	4	98
13	13	33	1.0	1/2	1/2	3/4	4	1	1/4	1/4	1		7	49	C#3	3	106
13	13	33	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		7	61	C#4	4	103
13	13	33	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		11	65	E#4	4	100
14	14	34	2.0	0	0	3/4	4	1	1/2	1/2	1		6	42	F#2	2	113
14	14	34	2.0	0	0	3/4	3	1	1/2	1/2	1		3	57	A3	3	111
14	14	34	2.0	0	0	3/4	2	1	1/2	1/2	1		7	61	C#4	4	109
14	14	34	2.0	0	0	3/4	1	1	1/2	1/2	1		6	66	F#4	4	107
14	14	36	1.0	1/2	1/2	3/4	4	1	1/4	1/4	1		9	51	D#3	3	114
14	14	36	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		3	57	A3	3	112
14	14	36	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		6	66	F#4	4	110
14	14	36	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		5	71	B4	4	108
15	15	37	2.0	0	0	3/4	4	1	1/2	1/2	1		4	52	E3	3	123
15	15	37	1.0	0	0	3/4	3	1	1/4	1/4	1		8	56	G#3	3	120
15	15	37	2.0	0	0	3/4	2	1	1/2	1/2	1		4	64	E4	4	118
15	15	37	1.0	0	0	3/4	1	1	1/4	1/4	1		5	71	B4	4	115
15	15	38	1.0	1/4	1/4	3/4	3	1	1/4	1/4	1		3	57	A3	3	121
15	15	38	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		3	69	A4	4	116
15	15	39	1.0	1/2	1/2	3/4	4	1	1/4	1/4	1		2	50	D3	3	124
15	15	39	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		5	59	B3	3	122
15	15	39	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		4	64	E4	4	119
15	15	39	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		8	68	G#4	4	117
16	16	40	1.0	0	0	3/4	4	1	1/4	1/4	1		7	49	C#3	3	132
16	16	40	2.0	0	0	3/4	3	1	1/2	1/2	1		7	61	C#4	4	129
16	16	40	2.0	0	0	3/4	2	1	1/2	1/2	1		4	64	E4	4	127
16	16	40	1.0	0	0	3/4	1	1	1/4	1/4	1		3	69	A4	4	125
16	16	41	1.0	1/4	1/4	3/4	4	1	1/4	1/4	1		3	45	A2	2	133
16	16	41	2.0	1/4	1/4	3/4	1	1	1/2	1/2	1		6	66	F#4	4	126
16	16	42	1.0	1/2	1/2	3/4	4	1	1/4	1/4	1		5	47	B2	2	134
16	16	42	0.5	1/2	1/2	3/4	3	1	1/8	1/8	1		5	59	B3	3	130
16	16	42	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		9	63	D#4	4	128
16	16	85/2	0.5	5/8	5/8	3/4	3	1	1/8	1/8	1		3	57	A3	3	131
17	17	43	2.0	0	0	3/4	4	1	1/2	1/2	1		4	52	E3	3	141
17	17	43	2.0	0	0	3/4	3	1	1/2	1/2	1		8	56	G#3	3	139
17	17	43	2.0	0	0	3/4	2	1	1/2	1/2	1		5	59	B3	3	137
17	17	43	2.0	0	0	3/4	1	1	1/2	1/2	1		4	64	E4	4	135
17	17	45	1.0	1/2	1/2	3/4	4	1	1/4	1/4	1		7	49	C#3	3	142
17	17	45	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		8	56	G#3	3	140
17	17	45	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		7	61	C#4	4	138
17	17	45	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		4	64	E4	4	136
18	18	46	1.0	0	0	3/4	4	1	1/4	1/4	1		6	54	F#3	3	149
18	18	46	2.0	0	0	3/4	3	1	1/2	1/2	1		3	57	A3	3	147
18	18	46	2.0	0	0	3/4	2	1	1/2	1/2	1		7	61	C#4	4	145
18	18	46	2.0	0	0	3/4	1	1	1/2	1/2	1		3	69	A4	4	143
18	18	47	1.0	1/4	1/4	3/4	4	1	1/4	1/4	1		4	52	E3	3	150
18	18	48	1.0	1/2	1/2	3/4	4	1	1/4	1/4	1		6	54	F#3	3	151
18	18	48	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		2	62	D4	4	148
18	18	48	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		6	66	F#4	4	146
18	18	48	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		3	69	A4	4	144
19	19	49	1.0	0	0	3/4	4	1	1/4	1/4	1		8	56	G#3	3	159
19	19	49	2.0	0	0	3/4	3	1	1/2	1/2	1		5	59	B3	3	157
19	19	49	1.0	0	0	3/4	2	1	1/4	1/4	1		4	64	E4	4	154
19	19	49	2.0	0	0	3/4	1	1	1/2	1/2	1		5	71	B4	4	152
19	19	50	1.0	1/4	1/4	3/4	4	1	1/4	1/4	1		6	54	F#3	3	160
19	19	50	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		6	66	F#4	4	155
19	19	51	1.0	1/2	1/2	3/4	4	1	1/4	1/4	1		4	52	E3	3	161
19	19	51	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		4	64	E4	4	158
19	19	51	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		8	68	G#4	4	156
19	19	51	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		5	71	B4	4	153
20	20	52	2.0	0	0	3/4	4	1	1/2	1/2	1		3	57	A3	3	168
20	20	52	3.0	0	0	3/4	3	1	3/4	1/2	3/2		4	64	E4	4	167
20	20	52	2.0	0	0	3/4	2	1	1/2	1/2	1		3	69	A4	4	165
20	20	52	1.5	0	0	3/4	1	1	3/8	1/4	3/2		7	73	C#5	5	162
20	20	107/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		5	71	B4	4	163
20	20	54	1.0	1/2	1/2	3/4	4	1	1/4	1/4	1		3	45	A2	2	169
20	20	54	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		1	67	G4	4	166
20	20	54	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		7	73	C#5	5	164
21	21	55	2.0	0	0	3/4	4	1	1/2	1/2	1		2	50	D3	3	176
21	21	55	2.0	0	0	3/4	3	1	1/2	1/2	1		2	62	D4	4	174
21	21	55	2.0	0	0	3/4	2	1	1/2	1/2	1		6	66	F#4	4	172
21	21	55	2.0	0	0	3/4	1	1	1/2	1/2	1		3	69	A4	4	170
21	21	57	1.0	1/2	1/2	3/4	4	1	1/4	1/4	1		7	49	C#3	3	177
21	21	57	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		4	64	E4	4	175
21	21	57	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		3	69	A4	4	171
21	21	57	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	69	A4	4	173
22	22	58	1.0	0	0	3/4	4	1	1/4	1/4	1		5	47	B2	2	185
22	22	58	2.0	0	0	3/4	3	1	1/2	1/2	1		6	66	F#4	4	183
22	22	58	2.0	0	0	3/4	2	1	1/2	1/2	1		5	71	B4	4	180
22	22	58	2.0	0	0	3/4	1	1	1/2	1/2	1		2	74	D5	5	178
22	22	59	0.5	1/4	1/4	3/4	4	1	1/8	1/8	1		5	59	B3	3	186
22	22	119/2	0.5	3/8	3/8	3/4	4	1	1/8	1/8	1		3	57	A3	3	187
22	22	60	0.5	1/2	1/2	3/4	4	1	1/8	1/8	1		1	55	G3	3	188
22	22	60	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		5	59	B3	3	184
22	22	60	0.5	1/2	1/2	3/4	2	1	1/8	1/8	1		5	71	B4	4	181
22	22	60	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		2	74	D5	5	179
22	22	121/2	0.5	5/8	5/8	3/4	4	1	1/8	1/8	1		6	54	F#3	3	189
22	22	121/2	0.5	5/8	5/8	3/4	2	1	1/8	1/8	1		3	69	A4	4	182
23	23	61	0.5	0	0	3/4	4	1	1/8	1/8	1		4	52	E3	3	202
23	23	61	1.0	0	0	3/4	3	1	1/4	1/4	1		4	64	E4	4	197
23	23	61	0.5	0	0	3/4	2	1	1/8	1/8	1		1	67	G4	4	193
23	23	61	1.0	0	0	3/4	1	1	1/4	1/4	1		7	73	C#5	5	190
23	23	123/2	0.5	1/8	1/8	3/4	4	1	1/8	1/8	1		6	54	F#3	3	203
23	23	123/2	0.5	1/8	1/8	3/4	2	1	1/8	1/8	1		3	69	A4	4	194
23	23	62	1.0	1/4	1/4	3/4	4	1	1/4	1/4	1		1	55	G3	3	204
23	23	62	0.5	1/4	1/4	3/4	3	1	1/8	1/8	1		2	62	D4	4	198
23	23	62	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		5	71	B4	4	191
23	23	62	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		5	71	B4	4	195
23	23	125/2	0.5	3/8	3/8	3/4	3	1	1/8	1/8	1		7	61	C#4	4	199
23	23	63	1.0	1/2	1/2	3/4	4	1	1/4	1/4	1		6	54	F#3	3	205
23	23	63	0.5	1/2	1/2	3/4	3	1	1/8	1/8	1		5	59	B3	3	200
23	23	63	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		4	64	E4	4	196
23	23	63	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		7	73	C#5	5	192
23	23	127/2	0.5	5/8	5/8	3/4	3	1	1/8	1/8	1		10	58	A#3	3	201
24	24	64	2.0	0	0	3/4	4	1	1/2	1/2	1		5	47	B2	2	212
24	24	64	2.0	0	0	3/4	3	1	1/2	1/2	1		5	59	B3	3	210
24	24	64	2.0	0	0	3/4	2	1	1/2	1/2	1		9	63	D#4	4	208
24	24	64	2.0	0	0	3/4	1	1	1/2	1/2	1		5	71	B4	4	206
24	24	66	1.0	1/2	1/2	3/4	4	1	1/4	1/4	1		4	52	E3	3	213
24	24	66	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		8	56	G#3	3	211
24	24	66	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		4	64	E4	4	209
24	24	66	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		5	71	B4	4	207
25	25	67	1.0	0	0	3/4	4	1	1/4	1/4	1		3	57	A3	3	220
25	25	67	2.0	0	0	3/4	3	1	1/2	1/2	1		3	57	A3	3	218
25	25	67	2.0	0	0	3/4	2	1	1/2	1/2	1		4	64	E4	4	216
25	25	67	2.0	0	0	3/4	1	1	1/2	1/2	1		7	73	C#5	5	214
25	25	68	1.0	1/4	1/4	3/4	4	1	1/4	1/4	1		8	56	G#3	3	221
25	25	69	1.0	1/2	1/2	3/4	4	1	1/4	1/4	1		6	54	F#3	3	222
25	25	69	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		3	57	A3	3	219
25	25	69	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		6	66	F#4	4	217
25	25	69	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		7	73	C#5	5	215
26	26	70	1.0	0	0	3/4	4	1	1/4	1/4	1		5	59	B3	3	229
26	26	70	2.0	0	0	3/4	3	1	1/2	1/2	1		5	59	B3	3	227
26	26	70	2.0	0	0	3/4	2	1	1/2	1/2	1		6	66	F#4	4	225
26	26	70	2.0	0	0	3/4	1	1	1/2	1/2	1		2	74	D5	5	223
26	26	71	1.0	1/4	1/4	3/4	4	1	1/4	1/4	1		3	57	A3	3	230
26	26	72	1.0	1/2	1/2	3/4	4	1	1/4	1/4	1		1	55	G3	3	231
26	26	72	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		5	59	B3	3	228
26	26	72	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		1	67	G4	4	226
26	26	72	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		2	74	D5	5	224
27	27	73	3.0	0	0	3/4	4	1	3/4	1/2	3/2		7	49	C#3	3	239
27	27	73	1.0	0	0	3/4	3	1	1/4	1/4	1		5	59	B3	3	236
27	27	73	1.0	0	0	3/4	2	1	1/4	1/4	1		1	67	G4	4	233
27	27	73	3.0	0	0	3/4	1	1	3/4	1/2	3/2		4	76	E5	5	232
27	27	74	1.0	1/4	1/4	3/4	3	1	1/4	1/4	1		3	57	A3	3	237
27	27	74	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		6	66	F#4	4	234
27	27	75	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		1	55	G3	3	238
27	27	75	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		4	64	E4	4	235
28	28	76	2.0	0	0	3/4	4	1	1/2	1/2	1		2	50	D3	3	246
28	28	76	2.0	0	0	3/4	3	1	1/2	1/2	1		6	54	F#3	3	244
28	28	76	2.0	0	0	3/4	2	1	1/2	1/2	1		2	62	D4	4	242
28	28	76	2.0	0	0	3/4	1	1	1/2	1/2	1		3	69	A4	4	240
28	28	78	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		3	57	A3	3	245
28	28	78	1.0	1/2	1/2	3/4	4	1	1/4	1/4	1		3	57	A3	3	247
28	28	78	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		4	64	E4	4	243
28	28	78	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		7	73	C#5	5	241
29	29	79	2.0	0	0	3/4	4	1	1/2	1/2	1		9	51	D#3	3	255
29	29	79	2.0	0	0	3/4	3	1	1/2	1/2	1		6	54	F#3	3	253
29	29	79	2.0	0	0	3/4	2	1	1/2	1/2	1		6	66	F#4	4	251
29	29	79	1.0	0	0	3/4	1	1	1/4	1/4	1		5	71	B4	4	248
29	29	80	1.0	1/4	1/4	3/4	1	1	1/4	1/4	1		3	69	A4	4	249
29	29	81	1.0	1/2	1/2	3/4	4	1	1/4	1/4	1		4	52	E3	3	256
29	29	81	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		5	59	B3	3	254
29	29	81	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		4	64	E4	4	252
29	29	81	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		8	68	G#4	4	250
30	30	82	1.0	0	0	3/4	4	1	1/4	1/4	1		3	45	A2	2	264
30	30	82	1.0	0	0	3/4	3	1	1/4	1/4	1		7	61	C#4	4	261
30	30	82	2.0	0	0	3/4	2	1	1/2	1/2	1		4	64	E4	4	259
30	30	82	1.0	0	0	3/4	1	1	1/4	1/4	1		3	69	A4	4	257
30	30	83	2.0	1/4	1/4	3/4	4	1	1/2	1/2	1		5	47	B2	2	265
30	30	83	1.0	1/4	1/4	3/4	3	1	1/4	1/4	1		5	59	B3	3	262
30	30	83	2.0	1/4	1/4	3/4	1	1	1/2	1/2	1		6	66	F#4	4	258
30	30	84	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		3	57	A3	3	263
30	30	84	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		9	63	D#4	4	260
31	31	85	2.0	0	0	3/4	4	1	1/2	1/2	1		4	52	E3	3	272
31	31	85	2.0	0	0	3/4	3	1	1/2	1/2	1		8	56	G#3	3	270
31	31	85	2.0	0	0	3/4	2	1	1/2	1/2	1		5	59	B3	3	268
31	31	85	2.0	0	0	3/4	1	1	1/2	1/2	1		4	64	E4	4	266
31	31	87	1.0	1/2	1/2	3/4	4	1	1/4	1/4	1		7	49	C#3	3	273
31	31	87	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		8	56	G#3	3	271
31	31	87	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		7	61	C#4	4	269
31	31	87	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		4	64	E4	4	267
32	32	88	2.0	0	0	3/4	4	1	1/2	1/2	1		6	54	F#3	3	281
32	32	88	2.0	0	0	3/4	3	1	1/2	1/2	1		3	57	A3	3	279
32	32	88	1.0	0	0	3/4	2	1	1/4	1/4	1		7	61	C#4	4	276
32	32	88	2.0	0	0	3/4	1	1	1/2	1/2	1		3	69	A4	4	274
32	32	89	1.0	1/4	1/4	3/4	2	1	1/4	1/4	1		9	63	D#4	4	277
32	32	90	1.0	1/2	1/2	3/4	4	1	1/4	1/4	1		4	52	E3	3	282
32	32	90	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		5	59	B3	3	280
32	32	90	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		4	64	E4	4	278
32	32	90	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		8	68	G#4	4	275
33	33	91	2.0	0	0	3/4	4	1	1/2	1/2	1		5	47	B2	2	290
33	33	91	1.0	0	0	3/4	3	1	1/4	1/4	1		5	59	B3	3	287
33	33	91	2.0	0	0	3/4	2	1	1/2	1/2	1		9	63	D#4	4	285
33	33	91	2.0	0	0	3/4	1	1	1/2	1/2	1		6	66	F#4	4	283
33	33	92	1.0	1/4	1/4	3/4	3	1	1/4	1/4	1		3	57	A3	3	288
33	33	93	1.0	1/2	1/2	3/4	4	1	1/4	1/4	1		7	49	C#3	3	291
33	33	93	1.0	1/2	1/2	3/4	3	1	1/4	1/4	1		8	56	G#3	3	289
33	33	93	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		4	64	E4	4	284
33	33	93	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		4	64	E4	4	286
34	34	94	2.0	0	0	3/4	4	1	1/2	1/2	1		2	50	D3	3	299
34	34	94	1.0	0	0	3/4	3	1	1/4	1/4	1		2	62	D4	4	297
34	34	94	1.5	0	0	3/4	2	1	3/8	1/4	3/2		6	66	F#4	4	294
34	34	94	1.0	0	0	3/4	1	1	1/4	1/4	1		5	71	B4	4	292
34	34	95	2.0	1/4	1/4	3/4	3	1	1/2	1/2	1		3	57	A3	3	298
34	34	95	2.0	1/4	1/4	3/4	1	1	1/2	1/2	1		7	73	C#5	5	293
34	34	191/2	0.5	3/8	3/8	3/4	2	1	1/8	1/8	1		8	68	G#4	4	295
34	34	96	1.0	1/2	1/2	3/4	4	1	1/4	1/4	1		9	51	D#3	3	300
34	34	96	1.0	1/2	1/2	3/4	2	1	1/4	1/4	1		3	69	A4	4	296
35	35	97	2.0	0	0	3/4	4	1	1/2	1/2	1		4	52	E3	3	307
